,Data,Produto_ID,Quantidade_Estoque
183,2018-01-19,4,31
184,2018-01-19,5,13
185,2018-01-19,6,66
186,2018-01-19,7,41
187,2018-01-19,8,55
188,2018-01-19,9,48
189,2018-01-19,10,28
190,2018-01-20,1,83
191,2018-01-20,2,63
192,2018-01-20,3,36
193,2018-01-20,4,92
194,2018-01-20,5,56
195,2018-01-20,6,66
196,2018-01-20,7,62
197,2018-01-20,8,56
198,2018-01-20,9,16
199,2018-01-20,10,43
200,2018-01-21,1,6
201,2018-01-21,2,7
202,2018-01-21,3,60
203,2018-01-21,4,85
204,2018-01-21,5,63
205,2018-01-21,6,6
206,2018-01-21,7,6
207,2018-01-21,8,96
208,2018-01-21,9,58
209,2018-01-21,10,91
210,2018-01-22,1,5
211,2018-01-22,2,23
212,2018-01-22,3,6
213,2018-01-22,4,57
214,2018-01-22,5,48
215,2018-01-22,6,94
216,2018-01-22,7,36
217,2018-01-22,8,74
218,2018-01-22,9,36
219,2018-01-22,10,72
220,2018-01-23,1,59
221,2018-01-23,2,79
222,2018-01-23,3,60
223,2018-01-23,4,21
224,2018-01-23,5,42
225,2018-01-23,6,28
226,2018-01-23,7,73
227,2018-01-23,8,74
228,2018-01-23,9,90
229,2018-01-23,10,15
230,2018-01-24,1,20
231,2018-01-24,2,77
232,2018-01-24,3,63
233,2018-01-24,4,74
234,2018-01-24,5,84
235,2018-01-24,6,97
236,2018-01-24,7,7
237,2018-01-24,8,24
238,2018-01-24,9,63
239,2018-01-24,10,40
240,2018-01-25,1,23
241,2018-01-25,2,94
242,2018-01-25,3,71
243,2018-01-25,4,23
244,2018-01-25,5,24
245,2018-01-25,6,75
246,2018-01-25,7,56
247,2018-01-25,8,37
248,2018-01-25,9,44
249,2018-01-25,10,43
250,2018-01-26,1,86
251,2018-01-26,2,5
252,2018-01-26,3,15
253,2018-01-26,4,96
254,2018-01-26,5,61
255,2018-01-26,6,93
256,2018-01-26,7,54
257,2018-01-26,8,27
258,2018-01-26,9,35
259,2018-01-26,10,98
260,2018-01-27,1,46
261,2018-01-27,2,11
262,2018-01-27,3,20
263,2018-01-27,4,94
264,2018-01-27,5,64
265,2018-01-27,6,6
266,2018-01-27,7,5
267,2018-01-27,8,52
268,2018-01-27,9,16
269,2018-01-27,10,73
270,2018-01-28,1,41
271,2018-01-28,2,36
272,2018-01-28,3,13
273,2018-01-28,4,23
274,2018-01-28,5,52
275,2018-01-28,6,84
276,2018-01-28,7,7
277,2018-01-28,8,24
278,2018-01-28,9,28
279,2018-01-28,10,58
280,2018-01-29,1,37
281,2018-01-29,2,28
282,2018-01-29,3,79
283,2018-01-29,4,76
284,2018-01-29,5,40
285,2018-01-29,6,42
286,2018-01-29,7,88
287,2018-01-29,8,93
288,2018-01-29,9,29
289,2018-01-29,10,97
290,2018-01-30,1,22
291,2018-01-30,2,86
292,2018-01-30,3,70
293,2018-01-30,4,58
294,2018-01-30,5,39
295,2018-01-30,6,84
296,2018-01-30,7,65
297,2018-01-30,8,45
298,2018-01-30,9,37
299,2018-01-30,10,72
300,2018-01-31,1,37
301,2018-01-31,2,18
302,2018-01-31,3,25
303,2018-01-31,4,52
304,2018-01-31,5,24
305,2018-01-31,6,12
306,2018-01-31,7,11
307,2018-01-31,8,71
308,2018-01-31,9,21
309,2018-01-31,10,37
310,2018-02-01,1,52
311,2018-02-01,2,80
312,2018-02-01,3,63
313,2018-02-01,4,90
314,2018-02-01,5,26
315,2018-02-01,6,34
316,2018-02-01,7,42
317,2018-02-01,8,55
318,2018-02-01,9,58
319,2018-02-01,10,12
320,2018-02-02,1,31
321,2018-02-02,2,31
322,2018-02-02,3,25
323,2018-02-02,4,34
324,2018-02-02,5,32
325,2018-02-02,6,68
326,2018-02-02,7,73
327,2018-02-02,8,65
328,2018-02-02,9,52
329,2018-02-02,10,23
330,2018-02-03,1,8
331,2018-02-03,2,39
332,2018-02-03,3,68
333,2018-02-03,4,53
334,2018-02-03,5,21
335,2018-02-03,6,48
336,2018-02-03,7,96
337,2018-02-03,8,34
338,2018-02-03,9,97
339,2018-02-03,10,50
340,2018-02-04,1,10
341,2018-02-04,2,41
342,2018-02-04,3,28
343,2018-02-04,4,97
344,2018-02-04,5,50
345,2018-02-04,6,57
346,2018-02-04,7,99
347,2018-02-04,8,64
348,2018-02-04,9,67
349,2018-02-04,10,89
350,2018-02-05,1,36
351,2018-02-05,2,91
352,2018-02-05,3,37
353,2018-02-05,4,71
354,2018-02-05,5,22
355,2018-02-05,6,29
356,2018-02-05,7,99
357,2018-02-05,8,58
358,2018-02-05,9,62
359,2018-02-05,10,71
360,2018-02-06,1,50
361,2018-02-06,2,28
362,2018-02-06,3,36
363,2018-02-06,4,51
364,2018-02-06,5,90
365,2018-02-06,6,27
366,2018-02-06,7,70
367,2018-02-06,8,31
368,2018-02-06,9,6
369,2018-02-06,10,94
370,2018-02-07,1,21
371,2018-02-07,2,37
372,2018-02-07,3,13
373,2018-02-07,4,47
374,2018-02-07,5,52
375,2018-02-07,6,43
376,2018-02-07,7,97
377,2018-02-07,8,46
378,2018-02-07,9,30
379,2018-02-07,10,54
380,2018-02-08,1,29
381,2018-02-08,2,28
382,2018-02-08,3,17
383,2018-02-08,4,64
384,2018-02-08,5,11
385,2018-02-08,6,61
386,2018-02-08,7,40
387,2018-02-08,8,49
388,2018-02-08,9,24
389,2018-02-08,10,69
390,2018-02-09,1,12
391,2018-02-09,2,20
392,2018-02-09,3,18
393,2018-02-09,4,80
394,2018-02-09,5,91
395,2018-02-09,6,19
396,2018-02-09,7,96
397,2018-02-09,8,70
398,2018-02-09,9,36
399,2018-02-09,10,91
400,2018-02-10,1,67
401,2018-02-10,2,90
402,2018-02-10,3,55
403,2018-02-10,4,29
404,2018-02-10,5,62
405,2018-02-10,6,67
406,2018-02-10,7,66
407,2018-02-10,8,26
408,2018-02-10,9,62
409,2018-02-10,10,62
410,2018-02-11,1,90
411,2018-02-11,2,53
412,2018-02-11,3,56
413,2018-02-11,4,46
414,2018-02-11,5,74
415,2018-02-11,6,19
416,2018-02-11,7,58
417,2018-02-11,8,64
418,2018-02-11,9,12
419,2018-02-11,10,57
420,2018-02-12,1,64
421,2018-02-12,2,9
422,2018-02-12,3,72
423,2018-02-12,4,10
424,2018-02-12,5,98
425,2018-02-12,6,51
426,2018-02-12,7,59
427,2018-02-12,8,44
428,2018-02-12,9,56
429,2018-02-12,10,20
430,2018-02-13,1,17
431,2018-02-13,2,34
432,2018-02-13,3,23
433,2018-02-13,4,21
434,2018-02-13,5,67
435,2018-02-13,6,23
436,2018-02-13,7,96
437,2018-02-13,8,62
438,2018-02-13,9,59
439,2018-02-13,10,94
440,2018-02-14,1,94
441,2018-02-14,2,66
442,2018-02-14,3,27
443,2018-02-14,4,13
444,2018-02-14,5,16
445,2018-02-14,6,5
446,2018-02-14,7,62
447,2018-02-14,8,5
448,2018-02-14,9,38
449,2018-02-14,10,52
450,2018-02-15,1,93
451,2018-02-15,2,5
452,2018-02-15,3,20
453,2018-02-15,4,65
454,2018-02-15,5,68
455,2018-02-15,6,67
456,2018-02-15,7,73
457,2018-02-15,8,26
458,2018-02-15,9,97
459,2018-02-15,10,71
460,2018-02-16,1,80
461,2018-02-16,2,30
462,2018-02-16,3,20
463,2018-02-16,4,55
464,2018-02-16,5,90
465,2018-02-16,6,61
466,2018-02-16,7,33
467,2018-02-16,8,82
468,2018-02-16,9,96
469,2018-02-16,10,73
470,2018-02-17,1,51
471,2018-02-17,2,98
472,2018-02-17,3,66
473,2018-02-17,4,73
474,2018-02-17,5,80
475,2018-02-17,6,20
476,2018-02-17,7,94
477,2018-02-17,8,94
478,2018-02-17,9,52
479,2018-02-17,10,89
480,2018-02-18,1,43
481,2018-02-18,2,37
482,2018-02-18,3,98
483,2018-02-18,4,27
484,2018-02-18,5,14
485,2018-02-18,6,73
486,2018-02-18,7,38
487,2018-02-18,8,56
488,2018-02-18,9,99
489,2018-02-18,10,14
490,2018-02-19,1,23
491,2018-02-19,2,62
492,2018-02-19,3,5
493,2018-02-19,4,73
494,2018-02-19,5,8
495,2018-02-19,6,20
496,2018-02-19,7,28
497,2018-02-19,8,84
498,2018-02-19,9,6
499,2018-02-19,10,96
500,2018-02-20,1,36
501,2018-02-20,2,95
502,2018-02-20,3,88
503,2018-02-20,4,28
504,2018-02-20,5,16
505,2018-02-20,6,54
506,2018-02-20,7,39
507,2018-02-20,8,37
508,2018-02-20,9,37
509,2018-02-20,10,65
510,2018-02-21,1,55
511,2018-02-21,2,47
512,2018-02-21,3,16
513,2018-02-21,4,71
514,2018-02-21,5,69
515,2018-02-21,6,37
516,2018-02-21,7,44
517,2018-02-21,8,78
518,2018-02-21,9,47
519,2018-02-21,10,48
520,2018-02-22,1,33
521,2018-02-22,2,17
522,2018-02-22,3,16
523,2018-02-22,4,99
524,2018-02-22,5,50
525,2018-02-22,6,6
526,2018-02-22,7,39
527,2018-02-22,8,91
528,2018-02-22,9,85
529,2018-02-22,10,94
530,2018-02-23,1,12
531,2018-02-23,2,97
532,2018-02-23,3,30
533,2018-02-23,4,78
534,2018-02-23,5,94
535,2018-02-23,6,38
536,2018-02-23,7,11
537,2018-02-23,8,72
538,2018-02-23,9,62
539,2018-02-23,10,79
540,2018-02-24,1,33
541,2018-02-24,2,40
542,2018-02-24,3,93
543,2018-02-24,4,25
544,2018-02-24,5,40
545,2018-02-24,6,14
546,2018-02-24,7,77
547,2018-02-24,8,28
548,2018-02-24,9,68
549,2018-02-24,10,53
550,2018-02-25,1,40
551,2018-02-25,2,86
552,2018-02-25,3,28
553,2018-02-25,4,27
554,2018-02-25,5,66
555,2018-02-25,6,41
556,2018-02-25,7,16
557,2018-02-25,8,59
558,2018-02-25,9,17
559,2018-02-25,10,27
560,2018-02-26,1,93
561,2018-02-26,2,34
562,2018-02-26,3,21
563,2018-02-26,4,66
564,2018-02-26,5,88
565,2018-02-26,6,93
566,2018-02-26,7,90
567,2018-02-26,8,17
568,2018-02-26,9,63
569,2018-02-26,10,23
570,2018-02-27,1,53
571,2018-02-27,2,16
572,2018-02-27,3,65
573,2018-02-27,4,23
574,2018-02-27,5,80
575,2018-02-27,6,13
576,2018-02-27,7,75
577,2018-02-27,8,32
578,2018-02-27,9,82
579,2018-02-27,10,99
580,2018-02-28,1,56
581,2018-02-28,2,87
582,2018-02-28,3,20
583,2018-02-28,4,73
584,2018-02-28,5,16
585,2018-02-28,6,29
586,2018-02-28,7,56
587,2018-02-28,8,89
588,2018-02-28,9,57
589,2018-02-28,10,27
590,2018-03-01,1,20
591,2018-03-01,2,61
592,2018-03-01,3,43
593,2018-03-01,4,57
594,2018-03-01,5,46
595,2018-03-01,6,62
596,2018-03-01,7,43
597,2018-03-01,8,18
598,2018-03-01,9,99
599,2018-03-01,10,9
600,2018-03-02,1,39
601,2018-03-02,2,91
602,2018-03-02,3,97
603,2018-03-02,4,79
604,2018-03-02,5,22
605,2018-03-02,6,80
606,2018-03-02,7,13
607,2018-03-02,8,78
608,2018-03-02,9,62
609,2018-03-02,10,21
610,2018-03-03,1,11
611,2018-03-03,2,50
612,2018-03-03,3,17
613,2018-03-03,4,44
614,2018-03-03,5,46
615,2018-03-03,6,13
616,2018-03-03,7,54
617,2018-03-03,8,31
618,2018-03-03,9,70
619,2018-03-03,10,9
620,2018-03-04,1,33
621,2018-03-04,2,41
622,2018-03-04,3,42
623,2018-03-04,4,87
624,2018-03-04,5,12
625,2018-03-04,6,69
626,2018-03-04,7,90
627,2018-03-04,8,21
628,2018-03-04,9,75
629,2018-03-04,10,93
630,2018-03-05,1,49
631,2018-03-05,2,8
632,2018-03-05,3,40
633,2018-03-05,4,74
634,2018-03-05,5,35
635,2018-03-05,6,23
636,2018-03-05,7,65
637,2018-03-05,8,58
638,2018-03-05,9,43
639,2018-03-05,10,95
640,2018-03-06,1,78
641,2018-03-06,2,94
642,2018-03-06,3,23
643,2018-03-06,4,43
644,2018-03-06,5,71
645,2018-03-06,6,49
646,2018-03-06,7,17
647,2018-03-06,8,96
648,2018-03-06,9,62
649,2018-03-06,10,24
650,2018-03-07,1,96
651,2018-03-07,2,76
652,2018-03-07,3,65
653,2018-03-07,4,43
654,2018-03-07,5,5
655,2018-03-07,6,7
656,2018-03-07,7,81
657,2018-03-07,8,96
658,2018-03-07,9,66
659,2018-03-07,10,67
660,2018-03-08,1,29
661,2018-03-08,2,60
662,2018-03-08,3,37
663,2018-03-08,4,42
664,2018-03-08,5,10
665,2018-03-08,6,62
666,2018-03-08,7,48
667,2018-03-08,8,49
668,2018-03-08,9,36
669,2018-03-08,10,49
670,2018-03-09,1,65
671,2018-03-09,2,51
672,2018-03-09,3,25
673,2018-03-09,4,84
674,2018-03-09,5,89
675,2018-03-09,6,79
676,2018-03-09,7,40
677,2018-03-09,8,23
678,2018-03-09,9,24
679,2018-03-09,10,61
680,2018-03-10,1,22
681,2018-03-10,2,51
682,2018-03-10,3,53
683,2018-03-10,4,18
684,2018-03-10,5,19
685,2018-03-10,6,35
686,2018-03-10,7,5
687,2018-03-10,8,58
688,2018-03-10,9,7
689,2018-03-10,10,20
690,2018-03-11,1,91
691,2018-03-11,2,61
692,2018-03-11,3,79
693,2018-03-11,4,16
694,2018-03-11,5,78
695,2018-03-11,6,20
696,2018-03-11,7,76
697,2018-03-11,8,80
698,2018-03-11,9,28
699,2018-03-11,10,32
700,2018-03-12,1,12
701,2018-03-12,2,96
702,2018-03-12,3,40
703,2018-03-12,4,94
704,2018-03-12,5,12
705,2018-03-12,6,62
706,2018-03-12,7,64
707,2018-03-12,8,54
708,2018-03-12,9,32
709,2018-03-12,10,96
710,2018-03-13,1,45
711,2018-03-13,2,68
712,2018-03-13,3,31
713,2018-03-13,4,67
714,2018-03-13,5,21
715,2018-03-13,6,77
716,2018-03-13,7,37
717,2018-03-13,8,88
718,2018-03-13,9,81
719,2018-03-13,10,96
720,2018-03-14,1,33
721,2018-03-14,2,17
722,2018-03-14,3,50
723,2018-03-14,4,39
724,2018-03-14,5,10
725,2018-03-14,6,86
726,2018-03-14,7,73
727,2018-03-14,8,51
728,2018-03-14,9,29
729,2018-03-14,10,70
730,2018-03-15,1,14
731,2018-03-15,2,60
732,2018-03-15,3,34
733,2018-03-15,4,9
734,2018-03-15,5,37
735,2018-03-15,6,69
736,2018-03-15,7,22
737,2018-03-15,8,53
738,2018-03-15,9,15
739,2018-03-15,10,89
740,2018-03-16,1,30
741,2018-03-16,2,67
742,2018-03-16,3,93
743,2018-03-16,4,90
744,2018-03-16,5,63
745,2018-03-16,6,31
746,2018-03-16,7,53
747,2018-03-16,8,81
748,2018-03-16,9,37
749,2018-03-16,10,5
750,2018-03-17,1,25
751,2018-03-17,2,59
752,2018-03-17,3,10
753,2018-03-17,4,96
754,2018-03-17,5,85
755,2018-03-17,6,73
756,2018-03-17,7,99
757,2018-03-17,8,9
758,2018-03-17,9,7
759,2018-03-17,10,57
760,2018-03-18,1,27
761,2018-03-18,2,57
762,2018-03-18,3,41
763,2018-03-18,4,78
764,2018-03-18,5,78
765,2018-03-18,6,87
766,2018-03-18,7,21
767,2018-03-18,8,89
768,2018-03-18,9,82
769,2018-03-18,10,77
770,2018-03-19,1,5
771,2018-03-19,2,55
772,2018-03-19,3,49
773,2018-03-19,4,81
774,2018-03-19,5,8
775,2018-03-19,6,66
776,2018-03-19,7,69
777,2018-03-19,8,36
778,2018-03-19,9,38
779,2018-03-19,10,96
780,2018-03-20,1,99
781,2018-03-20,2,76
782,2018-03-20,3,43
783,2018-03-20,4,30
784,2018-03-20,5,38
785,2018-03-20,6,58
786,2018-03-20,7,7
787,2018-03-20,8,54
788,2018-03-20,9,16
789,2018-03-20,10,69
790,2018-03-21,1,58
791,2018-03-21,2,9
792,2018-03-21,3,98
793,2018-03-21,4,98
794,2018-03-21,5,61
795,2018-03-21,6,21
796,2018-03-21,7,51
797,2018-03-21,8,27
798,2018-03-21,9,83
799,2018-03-21,10,89
800,2018-03-22,1,18
801,2018-03-22,2,70
802,2018-03-22,3,79
803,2018-03-22,4,55
804,2018-03-22,5,42
805,2018-03-22,6,68
806,2018-03-22,7,42
807,2018-03-22,8,54
808,2018-03-22,9,86
809,2018-03-22,10,34
810,2018-03-23,1,83
811,2018-03-23,2,95
812,2018-03-23,3,55
813,2018-03-23,4,67
814,2018-03-23,5,56
815,2018-03-23,6,42
816,2018-03-23,7,92
817,2018-03-23,8,83
818,2018-03-23,9,34
819,2018-03-23,10,55
820,2018-03-24,1,85
821,2018-03-24,2,9
822,2018-03-24,3,33
823,2018-03-24,4,8
824,2018-03-24,5,14
825,2018-03-24,6,60
826,2018-03-24,7,21
827,2018-03-24,8,78
828,2018-03-24,9,21
829,2018-03-24,10,88
830,2018-03-25,1,92
831,2018-03-25,2,73
832,2018-03-25,3,38
833,2018-03-25,4,10
834,2018-03-25,5,57
835,2018-03-25,6,70
836,2018-03-25,7,81
837,2018-03-25,8,47
838,2018-03-25,9,79
839,2018-03-25,10,27
840,2018-03-26,1,59
841,2018-03-26,2,84
842,2018-03-26,3,99
843,2018-03-26,4,79
844,2018-03-26,5,20
845,2018-03-26,6,12
846,2018-03-26,7,8
847,2018-03-26,8,8
848,2018-03-26,9,60
849,2018-03-26,10,29
850,2018-03-27,1,71
851,2018-03-27,2,71
852,2018-03-27,3,31
853,2018-03-27,4,97
854,2018-03-27,5,36
855,2018-03-27,6,54
856,2018-03-27,7,65
857,2018-03-27,8,55
858,2018-03-27,9,23
859,2018-03-27,10,25
860,2018-03-28,1,9
861,2018-03-28,2,86
862,2018-03-28,3,96
863,2018-03-28,4,46
864,2018-03-28,5,65
865,2018-03-28,6,26
866,2018-03-28,7,25
867,2018-03-28,8,74
868,2018-03-28,9,5
869,2018-03-28,10,9
870,2018-03-29,1,16
871,2018-03-29,2,94
872,2018-03-29,3,50
873,2018-03-29,4,38
874,2018-03-29,5,53
875,2018-03-29,6,82
876,2018-03-29,7,94
877,2018-03-29,8,49
878,2018-03-29,9,31
879,2018-03-29,10,77
880,2018-03-30,1,30
881,2018-03-30,2,51
882,2018-03-30,3,90
883,2018-03-30,4,60
884,2018-03-30,5,98
885,2018-03-30,6,67
886,2018-03-30,7,52
887,2018-03-30,8,65
888,2018-03-30,9,85
889,2018-03-30,10,30
890,2018-03-31,1,40
891,2018-03-31,2,5
892,2018-03-31,3,12
893,2018-03-31,4,56
894,2018-03-31,5,83
895,2018-03-31,6,51
896,2018-03-31,7,60
897,2018-03-31,8,90
898,2018-03-31,9,18
899,2018-03-31,10,94
900,2018-04-01,1,32
901,2018-04-01,2,91
902,2018-04-01,3,82
903,2018-04-01,4,92
904,2018-04-01,5,6
905,2018-04-01,6,30
906,2018-04-01,7,18
907,2018-04-01,8,63
908,2018-04-01,9,60
909,2018-04-01,10,11
910,2018-04-02,1,7
911,2018-04-02,2,27
912,2018-04-02,3,22
913,2018-04-02,4,42
914,2018-04-02,5,19
915,2018-04-02,6,68
916,2018-04-02,7,93
917,2018-04-02,8,32
918,2018-04-02,9,78
919,2018-04-02,10,43
920,2018-04-03,1,61
921,2018-04-03,2,21
922,2018-04-03,3,90
923,2018-04-03,4,94
924,2018-04-03,5,48
925,2018-04-03,6,29
926,2018-04-03,7,21
927,2018-04-03,8,17
928,2018-04-03,9,88
929,2018-04-03,10,29
930,2018-04-04,1,72
931,2018-04-04,2,14
932,2018-04-04,3,71
933,2018-04-04,4,22
934,2018-04-04,5,90
935,2018-04-04,6,38
936,2018-04-04,7,12
937,2018-04-04,8,44
938,2018-04-04,9,87
939,2018-04-04,10,46
940,2018-04-05,1,45
941,2018-04-05,2,10
942,2018-04-05,3,56
943,2018-04-05,4,30
944,2018-04-05,5,68
945,2018-04-05,6,63
946,2018-04-05,7,60
947,2018-04-05,8,63
948,2018-04-05,9,74
949,2018-04-05,10,37
950,2018-04-06,1,57
951,2018-04-06,2,26
952,2018-04-06,3,25
953,2018-04-06,4,74
954,2018-04-06,5,74
955,2018-04-06,6,8
956,2018-04-06,7,98
957,2018-04-06,8,79
958,2018-04-06,9,66
959,2018-04-06,10,66
960,2018-04-07,1,98
961,2018-04-07,2,99
962,2018-04-07,3,28
963,2018-04-07,4,59
964,2018-04-07,5,13
965,2018-04-07,6,7
966,2018-04-07,7,35
967,2018-04-07,8,44
968,2018-04-07,9,40
969,2018-04-07,10,28
970,2018-04-08,1,99
971,2018-04-08,2,10
972,2018-04-08,3,70
973,2018-04-08,4,88
974,2018-04-08,5,96
975,2018-04-08,6,79
976,2018-04-08,7,8
977,2018-04-08,8,83
978,2018-04-08,9,10
979,2018-04-08,10,98
980,2018-04-09,1,55
981,2018-04-09,2,66
982,2018-04-09,3,61
983,2018-04-09,4,70
984,2018-04-09,5,83
985,2018-04-09,6,79
986,2018-04-09,7,12
987,2018-04-09,8,30
988,2018-04-09,9,55
989,2018-04-09,10,49
990,2018-04-10,1,48
991,2018-04-10,2,9
992,2018-04-10,3,74
993,2018-04-10,4,30
994,2018-04-10,5,72
995,2018-04-10,6,23
996,2018-04-10,7,88
997,2018-04-10,8,24
998,2018-04-10,9,16
999,2018-04-10,10,51
1000,2018-04-11,1,5
1001,2018-04-11,2,94
1002,2018-04-11,3,18
1003,2018-04-11,4,68
1004,2018-04-11,5,42
1005,2018-04-11,6,41
1006,2018-04-11,7,15
1007,2018-04-11,8,81
1008,2018-04-11,9,7
1009,2018-04-11,10,37
1010,2018-04-12,1,10
1011,2018-04-12,2,54
1012,2018-04-12,3,14
1013,2018-04-12,4,9
1014,2018-04-12,5,27
1015,2018-04-12,6,14
1016,2018-04-12,7,48
1017,2018-04-12,8,6
1018,2018-04-12,9,17
1019,2018-04-12,10,44
1020,2018-04-13,1,6
1021,2018-04-13,2,88
1022,2018-04-13,3,69
1023,2018-04-13,4,67
1024,2018-04-13,5,77
1025,2018-04-13,6,21
1026,2018-04-13,7,13
1027,2018-04-13,8,79
1028,2018-04-13,9,19
1029,2018-04-13,10,28
1030,2018-04-14,1,42
1031,2018-04-14,2,39
1032,2018-04-14,3,98
1033,2018-04-14,4,99
1034,2018-04-14,5,53
1035,2018-04-14,6,73
1036,2018-04-14,7,66
1037,2018-04-14,8,64
1038,2018-04-14,9,54
1039,2018-04-14,10,82
1040,2018-04-15,1,79
1041,2018-04-15,2,13
1042,2018-04-15,3,38
1043,2018-04-15,4,80
1044,2018-04-15,5,39
1045,2018-04-15,6,5
1046,2018-04-15,7,44
1047,2018-04-15,8,68
1048,2018-04-15,9,26
1049,2018-04-15,10,64
1050,2018-04-16,1,68
1051,2018-04-16,2,97
1052,2018-04-16,3,76
1053,2018-04-16,4,15
1054,2018-04-16,5,18
1055,2018-04-16,6,64
1056,2018-04-16,7,34
1057,2018-04-16,8,39
1058,2018-04-16,9,89
1059,2018-04-16,10,41
1060,2018-04-17,1,9
1061,2018-04-17,2,87
1062,2018-04-17,3,82
1063,2018-04-17,4,30
1064,2018-04-17,5,66
1065,2018-04-17,6,8
1066,2018-04-17,7,93
1067,2018-04-17,8,46
