,Data,Produto_ID,Fornecedor_ID,Quantidade_Compra,Status
161,2018-01-17,2,2,13,Aguardando Confirmação
162,2018-01-17,3,3,12,Aguardando Confirmação
163,2018-01-17,4,4,19,Em Trânsito
164,2018-01-17,5,5,38,Aguardando Confirmação
165,2018-01-17,6,6,28,Aguardando Confirmação
166,2018-01-17,7,7,37,Aguardando Confirmação
167,2018-01-17,8,8,45,Entregue
168,2018-01-17,9,9,45,Entregue
169,2018-01-17,10,10,49,Entregue
170,2018-01-18,1,1,44,Aguardando Confirmação
171,2018-01-18,2,2,31,Em Trânsito
172,2018-01-18,3,3,25,Aguardando Confirmação
173,2018-01-18,4,4,9,Aguardando Confirmação
174,2018-01-18,5,5,39,Entregue
175,2018-01-18,6,6,25,Em Trânsito
176,2018-01-18,7,7,8,Entregue
177,2018-01-18,8,8,20,Em Trânsito
178,2018-01-18,9,9,35,Aguardando Confirmação
179,2018-01-18,10,10,30,Aguardando Confirmação
180,2018-01-19,1,1,39,Aguardando Confirmação
181,2018-01-19,2,2,10,Em Trânsito
182,2018-01-19,3,3,37,Entregue
183,2018-01-19,4,4,25,Entregue
184,2018-01-19,5,5,20,Entregue
185,2018-01-19,6,6,43,Em Trânsito
186,2018-01-19,7,7,38,Em Trânsito
187,2018-01-19,8,8,46,Aguardando Confirmação
188,2018-01-19,9,9,19,Entregue
189,2018-01-19,10,10,10,Em Trânsito
190,2018-01-20,1,1,6,Entregue
191,2018-01-20,2,2,28,Entregue
192,2018-01-20,3,3,32,Em Trânsito
193,2018-01-20,4,4,5,Em Trânsito
194,2018-01-20,5,5,5,Aguardando Confirmação
195,2018-01-20,6,6,32,Aguardando Confirmação
196,2018-01-20,7,7,40,Aguardando Confirmação
197,2018-01-20,8,8,24,Entregue
198,2018-01-20,9,9,12,Entregue
199,2018-01-20,10,10,5,Aguardando Confirmação
200,2018-01-21,1,1,30,Entregue
201,2018-01-21,2,2,47,Entregue
202,2018-01-21,3,3,29,Entregue
203,2018-01-21,4,4,14,Entregue
204,2018-01-21,5,5,16,Em Trânsito
205,2018-01-21,6,6,45,Em Trânsito
206,2018-01-21,7,7,11,Aguardando Confirmação
207,2018-01-21,8,8,16,Aguardando Confirmação
208,2018-01-21,9,9,44,Entregue
209,2018-01-21,10,10,21,Entregue
210,2018-01-22,1,1,9,Em Trânsito
211,2018-01-22,2,2,18,Entregue
212,2018-01-22,3,3,38,Entregue
213,2018-01-22,4,4,21,Aguardando Confirmação
214,2018-01-22,5,5,39,Entregue
215,2018-01-22,6,6,5,Em Trânsito
216,2018-01-22,7,7,40,Entregue
217,2018-01-22,8,8,19,Entregue
218,2018-01-22,9,9,23,Entregue
219,2018-01-22,10,10,46,Entregue
220,2018-01-23,1,1,9,Entregue
221,2018-01-23,2,2,23,Em Trânsito
222,2018-01-23,3,3,47,Aguardando Confirmação
223,2018-01-23,4,4,43,Entregue
224,2018-01-23,5,5,9,Aguardando Confirmação
225,2018-01-23,6,6,16,Aguardando Confirmação
226,2018-01-23,7,7,23,Em Trânsito
227,2018-01-23,8,8,16,Aguardando Confirmação
228,2018-01-23,9,9,40,Entregue
229,2018-01-23,10,10,16,Entregue
230,2018-01-24,1,1,22,Entregue
231,2018-01-24,2,2,47,Entregue
232,2018-01-24,3,3,38,Em Trânsito
233,2018-01-24,4,4,37,Aguardando Confirmação
234,2018-01-24,5,5,22,Em Trânsito
235,2018-01-24,6,6,33,Aguardando Confirmação
236,2018-01-24,7,7,49,Em Trânsito
237,2018-01-24,8,8,9,Em Trânsito
238,2018-01-24,9,9,29,Em Trânsito
239,2018-01-24,10,10,28,Entregue
240,2018-01-25,1,1,33,Entregue
241,2018-01-25,2,2,42,Em Trânsito
242,2018-01-25,3,3,37,Aguardando Confirmação
243,2018-01-25,4,4,14,Aguardando Confirmação
244,2018-01-25,5,5,41,Entregue
245,2018-01-25,6,6,37,Em Trânsito
246,2018-01-25,7,7,27,Entregue
247,2018-01-25,8,8,15,Entregue
248,2018-01-25,9,9,28,Entregue
249,2018-01-25,10,10,28,Em Trânsito
250,2018-01-26,1,1,11,Em Trânsito
251,2018-01-26,2,2,25,Entregue
252,2018-01-26,3,3,24,Em Trânsito
253,2018-01-26,4,4,14,Aguardando Confirmação
254,2018-01-26,5,5,29,Aguardando Confirmação
255,2018-01-26,6,6,40,Entregue
256,2018-01-26,7,7,19,Aguardando Confirmação
257,2018-01-26,8,8,48,Entregue
258,2018-01-26,9,9,44,Entregue
259,2018-01-26,10,10,44,Entregue
260,2018-01-27,1,1,10,Em Trânsito
261,2018-01-27,2,2,41,Em Trânsito
262,2018-01-27,3,3,6,Em Trânsito
263,2018-01-27,4,4,16,Em Trânsito
264,2018-01-27,5,5,8,Entregue
265,2018-01-27,6,6,27,Em Trânsito
266,2018-01-27,7,7,17,Aguardando Confirmação
267,2018-01-27,8,8,21,Aguardando Confirmação
268,2018-01-27,9,9,35,Em Trânsito
269,2018-01-27,10,10,20,Aguardando Confirmação
270,2018-01-28,1,1,45,Aguardando Confirmação
271,2018-01-28,2,2,30,Em Trânsito
272,2018-01-28,3,3,32,Entregue
273,2018-01-28,4,4,5,Entregue
274,2018-01-28,5,5,16,Entregue
275,2018-01-28,6,6,41,Em Trânsito
276,2018-01-28,7,7,24,Entregue
277,2018-01-28,8,8,6,Entregue
278,2018-01-28,9,9,40,Aguardando Confirmação
279,2018-01-28,10,10,19,Entregue
280,2018-01-29,1,1,42,Em Trânsito
281,2018-01-29,2,2,26,Entregue
282,2018-01-29,3,3,48,Aguardando Confirmação
283,2018-01-29,4,4,36,Aguardando Confirmação
284,2018-01-29,5,5,24,Aguardando Confirmação
285,2018-01-29,6,6,40,Aguardando Confirmação
286,2018-01-29,7,7,37,Entregue
287,2018-01-29,8,8,19,Aguardando Confirmação
288,2018-01-29,9,9,7,Aguardando Confirmação
289,2018-01-29,10,10,33,Aguardando Confirmação
290,2018-01-30,1,1,31,Entregue
291,2018-01-30,2,2,9,Em Trânsito
292,2018-01-30,3,3,35,Aguardando Confirmação
293,2018-01-30,4,4,26,Aguardando Confirmação
294,2018-01-30,5,5,39,Aguardando Confirmação
295,2018-01-30,6,6,11,Entregue
296,2018-01-30,7,7,10,Entregue
297,2018-01-30,8,8,30,Aguardando Confirmação
298,2018-01-30,9,9,5,Em Trânsito
299,2018-01-30,10,10,23,Aguardando Confirmação
300,2018-01-31,1,1,11,Em Trânsito
301,2018-01-31,2,2,40,Em Trânsito
302,2018-01-31,3,3,16,Entregue
303,2018-01-31,4,4,24,Entregue
304,2018-01-31,5,5,27,Entregue
305,2018-01-31,6,6,29,Em Trânsito
306,2018-01-31,7,7,34,Em Trânsito
307,2018-01-31,8,8,33,Em Trânsito
308,2018-01-31,9,9,35,Entregue
309,2018-01-31,10,10,22,Entregue
310,2018-02-01,1,1,45,Entregue
311,2018-02-01,2,2,23,Aguardando Confirmação
312,2018-02-01,3,3,8,Em Trânsito
313,2018-02-01,4,4,5,Em Trânsito
314,2018-02-01,5,5,45,Aguardando Confirmação
315,2018-02-01,6,6,19,Em Trânsito
316,2018-02-01,7,7,12,Em Trânsito
317,2018-02-01,8,8,19,Aguardando Confirmação
318,2018-02-01,9,9,19,Em Trânsito
319,2018-02-01,10,10,43,Entregue
320,2018-02-02,1,1,26,Aguardando Confirmação
321,2018-02-02,2,2,22,Em Trânsito
322,2018-02-02,3,3,20,Entregue
323,2018-02-02,4,4,6,Em Trânsito
324,2018-02-02,5,5,40,Aguardando Confirmação
325,2018-02-02,6,6,24,Entregue
326,2018-02-02,7,7,20,Em Trânsito
327,2018-02-02,8,8,7,Aguardando Confirmação
328,2018-02-02,9,9,34,Em Trânsito
329,2018-02-02,10,10,6,Em Trânsito
330,2018-02-03,1,1,39,Entregue
331,2018-02-03,2,2,30,Em Trânsito
332,2018-02-03,3,3,9,Aguardando Confirmação
333,2018-02-03,4,4,6,Aguardando Confirmação
334,2018-02-03,5,5,24,Entregue
335,2018-02-03,6,6,38,Entregue
336,2018-02-03,7,7,38,Em Trânsito
337,2018-02-03,8,8,24,Aguardando Confirmação
338,2018-02-03,9,9,29,Entregue
339,2018-02-03,10,10,24,Em Trânsito
340,2018-02-04,1,1,29,Em Trânsito
341,2018-02-04,2,2,18,Aguardando Confirmação
342,2018-02-04,3,3,48,Aguardando Confirmação
343,2018-02-04,4,4,47,Em Trânsito
344,2018-02-04,5,5,47,Aguardando Confirmação
345,2018-02-04,6,6,43,Em Trânsito
346,2018-02-04,7,7,16,Em Trânsito
347,2018-02-04,8,8,9,Aguardando Confirmação
348,2018-02-04,9,9,6,Entregue
349,2018-02-04,10,10,20,Em Trânsito
350,2018-02-05,1,1,34,Aguardando Confirmação
351,2018-02-05,2,2,47,Em Trânsito
352,2018-02-05,3,3,42,Em Trânsito
353,2018-02-05,4,4,49,Em Trânsito
354,2018-02-05,5,5,46,Aguardando Confirmação
355,2018-02-05,6,6,28,Aguardando Confirmação
356,2018-02-05,7,7,34,Aguardando Confirmação
357,2018-02-05,8,8,41,Entregue
358,2018-02-05,9,9,43,Em Trânsito
359,2018-02-05,10,10,15,Entregue
360,2018-02-06,1,1,18,Em Trânsito
361,2018-02-06,2,2,27,Aguardando Confirmação
362,2018-02-06,3,3,20,Em Trânsito
363,2018-02-06,4,4,25,Em Trânsito
364,2018-02-06,5,5,8,Em Trânsito
365,2018-02-06,6,6,37,Entregue
366,2018-02-06,7,7,18,Aguardando Confirmação
367,2018-02-06,8,8,23,Aguardando Confirmação
368,2018-02-06,9,9,9,Em Trânsito
369,2018-02-06,10,10,40,Aguardando Confirmação
370,2018-02-07,1,1,35,Entregue
371,2018-02-07,2,2,49,Entregue
372,2018-02-07,3,3,22,Aguardando Confirmação
373,2018-02-07,4,4,48,Entregue
374,2018-02-07,5,5,35,Entregue
375,2018-02-07,6,6,34,Aguardando Confirmação
376,2018-02-07,7,7,25,Aguardando Confirmação
377,2018-02-07,8,8,34,Em Trânsito
378,2018-02-07,9,9,45,Em Trânsito
379,2018-02-07,10,10,8,Entregue
380,2018-02-08,1,1,9,Aguardando Confirmação
381,2018-02-08,2,2,45,Entregue
382,2018-02-08,3,3,49,Aguardando Confirmação
383,2018-02-08,4,4,14,Entregue
384,2018-02-08,5,5,31,Entregue
385,2018-02-08,6,6,20,Entregue
386,2018-02-08,7,7,34,Em Trânsito
387,2018-02-08,8,8,17,Aguardando Confirmação
388,2018-02-08,9,9,40,Entregue
389,2018-02-08,10,10,25,Em Trânsito
390,2018-02-09,1,1,49,Entregue
391,2018-02-09,2,2,44,Entregue
392,2018-02-09,3,3,49,Aguardando Confirmação
393,2018-02-09,4,4,19,Entregue
394,2018-02-09,5,5,24,Aguardando Confirmação
395,2018-02-09,6,6,24,Em Trânsito
396,2018-02-09,7,7,49,Em Trânsito
397,2018-02-09,8,8,9,Entregue
398,2018-02-09,9,9,36,Em Trânsito
399,2018-02-09,10,10,10,Aguardando Confirmação
400,2018-02-10,1,1,34,Aguardando Confirmação
401,2018-02-10,2,2,30,Em Trânsito
402,2018-02-10,3,3,41,Aguardando Confirmação
403,2018-02-10,4,4,17,Aguardando Confirmação
404,2018-02-10,5,5,33,Entregue
405,2018-02-10,6,6,9,Entregue
406,2018-02-10,7,7,29,Aguardando Confirmação
407,2018-02-10,8,8,17,Em Trânsito
408,2018-02-10,9,9,28,Aguardando Confirmação
409,2018-02-10,10,10,35,Entregue
410,2018-02-11,1,1,24,Em Trânsito
411,2018-02-11,2,2,12,Aguardando Confirmação
412,2018-02-11,3,3,13,Em Trânsito
413,2018-02-11,4,4,25,Em Trânsito
414,2018-02-11,5,5,24,Em Trânsito
415,2018-02-11,6,6,19,Aguardando Confirmação
416,2018-02-11,7,7,30,Entregue
417,2018-02-11,8,8,46,Em Trânsito
418,2018-02-11,9,9,15,Em Trânsito
419,2018-02-11,10,10,41,Aguardando Confirmação
420,2018-02-12,1,1,45,Entregue
421,2018-02-12,2,2,15,Entregue
422,2018-02-12,3,3,31,Aguardando Confirmação
423,2018-02-12,4,4,34,Em Trânsito
424,2018-02-12,5,5,23,Aguardando Confirmação
425,2018-02-12,6,6,38,Entregue
426,2018-02-12,7,7,42,Em Trânsito
427,2018-02-12,8,8,27,Em Trânsito
428,2018-02-12,9,9,5,Entregue
429,2018-02-12,10,10,7,Em Trânsito
430,2018-02-13,1,1,7,Aguardando Confirmação
431,2018-02-13,2,2,32,Entregue
432,2018-02-13,3,3,18,Entregue
433,2018-02-13,4,4,34,Em Trânsito
434,2018-02-13,5,5,9,Entregue
435,2018-02-13,6,6,19,Aguardando Confirmação
436,2018-02-13,7,7,42,Entregue
437,2018-02-13,8,8,18,Em Trânsito
438,2018-02-13,9,9,18,Entregue
439,2018-02-13,10,10,12,Em Trânsito
440,2018-02-14,1,1,12,Em Trânsito
441,2018-02-14,2,2,23,Aguardando Confirmação
442,2018-02-14,3,3,36,Entregue
443,2018-02-14,4,4,35,Aguardando Confirmação
444,2018-02-14,5,5,33,Aguardando Confirmação
445,2018-02-14,6,6,45,Entregue
446,2018-02-14,7,7,15,Aguardando Confirmação
447,2018-02-14,8,8,49,Aguardando Confirmação
448,2018-02-14,9,9,17,Em Trânsito
449,2018-02-14,10,10,31,Aguardando Confirmação
450,2018-02-15,1,1,23,Entregue
451,2018-02-15,2,2,30,Em Trânsito
452,2018-02-15,3,3,41,Aguardando Confirmação
453,2018-02-15,4,4,13,Aguardando Confirmação
454,2018-02-15,5,5,32,Entregue
455,2018-02-15,6,6,36,Aguardando Confirmação
456,2018-02-15,7,7,7,Entregue
457,2018-02-15,8,8,36,Aguardando Confirmação
458,2018-02-15,9,9,9,Aguardando Confirmação
459,2018-02-15,10,10,12,Entregue
460,2018-02-16,1,1,18,Em Trânsito
461,2018-02-16,2,2,7,Entregue
462,2018-02-16,3,3,28,Em Trânsito
463,2018-02-16,4,4,17,Em Trânsito
464,2018-02-16,5,5,47,Entregue
465,2018-02-16,6,6,33,Entregue
466,2018-02-16,7,7,12,Aguardando Confirmação
467,2018-02-16,8,8,46,Aguardando Confirmação
468,2018-02-16,9,9,35,Em Trânsito
469,2018-02-16,10,10,30,Aguardando Confirmação
470,2018-02-17,1,1,22,Entregue
471,2018-02-17,2,2,22,Em Trânsito
472,2018-02-17,3,3,11,Aguardando Confirmação
473,2018-02-17,4,4,42,Aguardando Confirmação
474,2018-02-17,5,5,20,Entregue
475,2018-02-17,6,6,37,Entregue
476,2018-02-17,7,7,7,Aguardando Confirmação
477,2018-02-17,8,8,42,Em Trânsito
478,2018-02-17,9,9,8,Em Trânsito
479,2018-02-17,10,10,40,Entregue
480,2018-02-18,1,1,8,Entregue
481,2018-02-18,2,2,46,Entregue
482,2018-02-18,3,3,13,Aguardando Confirmação
483,2018-02-18,4,4,44,Aguardando Confirmação
484,2018-02-18,5,5,21,Entregue
485,2018-02-18,6,6,21,Em Trânsito
486,2018-02-18,7,7,37,Entregue
487,2018-02-18,8,8,24,Entregue
488,2018-02-18,9,9,18,Em Trânsito
489,2018-02-18,10,10,26,Em Trânsito
490,2018-02-19,1,1,31,Em Trânsito
491,2018-02-19,2,2,47,Em Trânsito
492,2018-02-19,3,3,7,Aguardando Confirmação
493,2018-02-19,4,4,28,Aguardando Confirmação
494,2018-02-19,5,5,34,Entregue
495,2018-02-19,6,6,12,Aguardando Confirmação
496,2018-02-19,7,7,26,Entregue
497,2018-02-19,8,8,29,Entregue
498,2018-02-19,9,9,14,Em Trânsito
499,2018-02-19,10,10,33,Em Trânsito
500,2018-02-20,1,1,44,Aguardando Confirmação
501,2018-02-20,2,2,5,Aguardando Confirmação
502,2018-02-20,3,3,25,Aguardando Confirmação
503,2018-02-20,4,4,43,Aguardando Confirmação
504,2018-02-20,5,5,28,Em Trânsito
505,2018-02-20,6,6,13,Em Trânsito
506,2018-02-20,7,7,48,Aguardando Confirmação
507,2018-02-20,8,8,30,Entregue
508,2018-02-20,9,9,13,Em Trânsito
509,2018-02-20,10,10,24,Em Trânsito
510,2018-02-21,1,1,39,Em Trânsito
511,2018-02-21,2,2,40,Em Trânsito
512,2018-02-21,3,3,46,Aguardando Confirmação
513,2018-02-21,4,4,40,Aguardando Confirmação
514,2018-02-21,5,5,13,Entregue
515,2018-02-21,6,6,26,Em Trânsito
516,2018-02-21,7,7,5,Aguardando Confirmação
517,2018-02-21,8,8,9,Aguardando Confirmação
518,2018-02-21,9,9,13,Em Trânsito
519,2018-02-21,10,10,41,Aguardando Confirmação
520,2018-02-22,1,1,42,Aguardando Confirmação
521,2018-02-22,2,2,23,Aguardando Confirmação
522,2018-02-22,3,3,12,Entregue
523,2018-02-22,4,4,46,Aguardando Confirmação
524,2018-02-22,5,5,47,Em Trânsito
525,2018-02-22,6,6,36,Em Trânsito
526,2018-02-22,7,7,17,Em Trânsito
527,2018-02-22,8,8,24,Aguardando Confirmação
528,2018-02-22,9,9,40,Entregue
529,2018-02-22,10,10,47,Aguardando Confirmação
530,2018-02-23,1,1,48,Em Trânsito
531,2018-02-23,2,2,41,Entregue
532,2018-02-23,3,3,34,Entregue
533,2018-02-23,4,4,14,Aguardando Confirmação
534,2018-02-23,5,5,35,Em Trânsito
535,2018-02-23,6,6,29,Aguardando Confirmação
536,2018-02-23,7,7,33,Em Trânsito
537,2018-02-23,8,8,28,Entregue
538,2018-02-23,9,9,43,Aguardando Confirmação
539,2018-02-23,10,10,25,Entregue
540,2018-02-24,1,1,45,Em Trânsito
541,2018-02-24,2,2,13,Entregue
542,2018-02-24,3,3,46,Entregue
543,2018-02-24,4,4,46,Entregue
544,2018-02-24,5,5,6,Aguardando Confirmação
545,2018-02-24,6,6,8,Em Trânsito
546,2018-02-24,7,7,12,Entregue
547,2018-02-24,8,8,36,Entregue
548,2018-02-24,9,9,18,Entregue
549,2018-02-24,10,10,17,Entregue
550,2018-02-25,1,1,25,Em Trânsito
551,2018-02-25,2,2,28,Em Trânsito
552,2018-02-25,3,3,22,Aguardando Confirmação
553,2018-02-25,4,4,49,Em Trânsito
554,2018-02-25,5,5,44,Em Trânsito
555,2018-02-25,6,6,30,Entregue
556,2018-02-25,7,7,36,Aguardando Confirmação
557,2018-02-25,8,8,48,Aguardando Confirmação
558,2018-02-25,9,9,37,Entregue
559,2018-02-25,10,10,35,Aguardando Confirmação
560,2018-02-26,1,1,22,Em Trânsito
561,2018-02-26,2,2,39,Aguardando Confirmação
562,2018-02-26,3,3,16,Entregue
563,2018-02-26,4,4,29,Aguardando Confirmação
564,2018-02-26,5,5,49,Aguardando Confirmação
565,2018-02-26,6,6,35,Aguardando Confirmação
566,2018-02-26,7,7,14,Entregue
567,2018-02-26,8,8,38,Em Trânsito
568,2018-02-26,9,9,7,Aguardando Confirmação
569,2018-02-26,10,10,43,Em Trânsito
570,2018-02-27,1,1,12,Em Trânsito
571,2018-02-27,2,2,36,Em Trânsito
572,2018-02-27,3,3,47,Aguardando Confirmação
573,2018-02-27,4,4,33,Em Trânsito
574,2018-02-27,5,5,26,Aguardando Confirmação
575,2018-02-27,6,6,24,Aguardando Confirmação
576,2018-02-27,7,7,10,Aguardando Confirmação
577,2018-02-27,8,8,47,Em Trânsito
578,2018-02-27,9,9,33,Aguardando Confirmação
579,2018-02-27,10,10,46,Entregue
580,2018-02-28,1,1,21,Entregue
581,2018-02-28,2,2,35,Entregue
582,2018-02-28,3,3,38,Aguardando Confirmação
583,2018-02-28,4,4,42,Entregue
584,2018-02-28,5,5,41,Aguardando Confirmação
585,2018-02-28,6,6,8,Aguardando Confirmação
586,2018-02-28,7,7,6,Aguardando Confirmação
587,2018-02-28,8,8,16,Em Trânsito
588,2018-02-28,9,9,39,Entregue
589,2018-02-28,10,10,10,Aguardando Confirmação
590,2018-03-01,1,1,12,Entregue
591,2018-03-01,2,2,25,Entregue
592,2018-03-01,3,3,39,Em Trânsito
593,2018-03-01,4,4,19,Entregue
594,2018-03-01,5,5,11,Aguardando Confirmação
595,2018-03-01,6,6,19,Aguardando Confirmação
596,2018-03-01,7,7,49,Entregue
597,2018-03-01,8,8,10,Entregue
598,2018-03-01,9,9,21,Em Trânsito
599,2018-03-01,10,10,8,Aguardando Confirmação
600,2018-03-02,1,1,26,Entregue
601,2018-03-02,2,2,36,Entregue
